instancia,grupo,constructiva,operador,costo_inicial,costo_final,mejora_pct,tiempo_s,pasadas
a10100,a,vmc,swap_best,1370.0000,1362.0000,0.5839,0.0000,2
a10100,a,vmc,relocate_multiple,1370.0000,1370.0000,0.0000,0.0000,0
a10100,a,vmc,swap_multiple,1370.0000,1362.0000,0.5839,0.0001,2
a10100,a,insercion,relocate_first,1358.0000,1358.0000,0.0000,0.0000,0
a10100,a,insercion,relocate_best,1358.0000,1358.0000,0.0000,0.0000,0
a10100,a,insercion,swap_first,1358.0000,1358.0000,0.0000,0.0000,0
a10100,a,insercion,swap_best,1358.0000,1358.0000,0.0000,0.0000,0
a10100,a,insercion,relocate_multiple,1358.0000,1358.0000,0.0000,0.0000,0
a10100,a,insercion,swap_multiple,1358.0000,1358.0000,0.0000,0.0001,0
a10200,a,vmc,relocate_first,2657.0000,2657.0000,0.0000,0.0000,0
a10200,a,vmc,relocate_best,2657.0000,2657.0000,0.0000,0.0000,0
a10200,a,vmc,swap_first,2657.0000,2630.0000,1.0162,0.0002,15
a10200,a,vmc,swap_best,2657.0000,2632.0000,0.9409,0.0002,7
a10200,a,vmc,relocate_multiple,2657.0000,2657.0000,0.0000,0.0000,0
a10200,a,vmc,swap_multiple,2657.0000,2632.0000,0.9409,0.0002,7
a10200,a,insercion,relocate_first,2623.0000,2623.0000,0.0000,0.0000,0
a10200,a,insercion,relocate_best,2623.0000,2623.0000,0.0000,0.0000,0
a10200,a,insercion,swap_first,2623.0000,2623.0000,0.0000,0.0000,0
a10200,a,insercion,swap_best,2623.0000,2623.0000,0.0000,0.0000,0
a10200,a,insercion,relocate_multiple,2623.0000,2623.0000,0.0000,0.0000,0
a10200,a,insercion,swap_multiple,2623.0000,2623.0000,0.0000,0.0002,0
a20100,a,vmc,relocate_first,1177.0000,1177.0000,0.0000,0.0000,0
a20100,a,vmc,relocate_best,1177.0000,1177.0000,0.0000,0.0000,0
a20100,a,vmc,swap_first,1177.0000,1170.0000,0.5947,0.0000,3
a20100,a,vmc,swap_best,1177.0000,1169.0000,0.6797,0.0000,3
a20100,a,vmc,relocate_multiple,1177.0000,1177.0000,0.0000,0.0000,0
a20100,a,vmc,swap_multiple,1177.0000,1173.0000,0.3398,0.0001,3
a20100,a,insercion,relocate_first,1158.0000,1158.0000,0.0000,0.0000,0
a20100,a,insercion,relocate_best,1158.0000,1158.0000,0.0000,0.0000,0
a20100,a,insercion,swap_first,1158.0000,1158.0000,0.0000,0.0000,0
a20100,a,insercion,swap_best,1158.0000,1158.0000,0.0000,0.0000,0
a20100,a,insercion,relocate_multiple,1158.0000,1158.0000,0.0000,0.0000,0
a20100,a,insercion,swap_multiple,1158.0000,1158.0000,0.0000,0.0001,0
a20200,a,vmc,relocate_first,2369.0000,2369.0000,0.0000,0.0000,0
a20200,a,vmc,relocate_best,2369.0000,2369.0000,0.0000,0.0000,0
a20200,a,vmc,swap_first,2369.0000,2353.0000,0.6754,0.0001,8
a20200,a,vmc,swap_best,2369.0000,2351.0000,0.7598,0.0001,4
a20200,a,vmc,relocate_multiple,2369.0000,2369.0000,0.0000,0.0001,0
a20200,a,vmc,swap_multiple,2369.0000,2351.0000,0.7598,0.0003,4
a20200,a,insercion,relocate_first,2340.0000,2340.0000,0.0000,0.0000,0
a20200,a,insercion,relocate_best,2340.0000,2340.0000,0.0000,0.0000,0
a20200,a,insercion,swap_first,2340.0000,2340.0000,0.0000,0.0000,0
a20200,a,insercion,swap_best,2340.0000,2340.0000,0.0000,0.0000,0
a20200,a,insercion,relocate_multiple,2340.0000,2340.0000,0.0000,0.0001,0
a20200,a,insercion,swap_multiple,2340.0000,2340.0000,0.0000,0.0002,0
b05100,b,vmc,relocate_first,5669.0000,5669.0000,0.0000,0.0000,0
b05100,b,vmc,relocate_best,5669.0000,5669.0000,0.0000,0.0000,0
b05100,b,vmc,swap_first,5669.0000,5629.0000,0.7056,0.0000,9
b05100,b,vmc,swap_best,5669.0000,5629.0000,0.7056,0.0001,6
b05100,b,vmc,relocate_multiple,5669.0000,5669.0000,0.0000,0.0000,0
b05100,b,vmc,swap_multiple,5669.0000,5629.0000,0.7056,0.0000,6
